symbol,Date,Open,High,Low,Close,Volume,Daily_Return,Volatility_14d,ATR_14d,VIX_Close,Target,Sentiment_Score
AAPL,2020-01-27,74.74115326828117,75.15335327614349,73.49249613883003,74.47358703613281,161940000.0,-0.0294050998430666,0.2226903225643056,1.345421906417218,18.229999542236328,1,0.0
AAPL,2020-01-28,75.35342783283777,76.7515370876536,75.25459488094803,76.58039093017578,162234000.0,0.0282892764789319,0.2455633606022712,1.4492469187051509,16.280000686645508,1,0.0
AAPL,2020-01-29,78.209907499375,79.02948893915872,77.46987057591716,78.18338775634766,216229200.0,0.0209322100174893,0.2507635904978063,1.4988345294726224,16.389999389648438,0,0.0
AAPL,2020-01-30,77.26737779773116,78.12311574202653,76.83588948795824,78.07008361816406,126743200.0,-0.0014492098824969,0.2404445939804904,1.4704250365339817,15.489999771118164,0,0.0
AAPL,2020-01-31,77.3614124669731,77.78325671620777,74.31449554353281,74.60858154296875,199588400.0,-0.0443383933354715,0.3143565078708308,1.6625769618661863,18.84000015258789,0,0.0
AAPL,2020-02-03,73.3526878513845,75.56797344941275,72.8512990512171,74.4036865234375,173788400.0,-0.0027462661170316,0.2988459754835866,1.7405760504675922,17.969999313354492,1,0.0
AAPL,2020-02-04,76.00667569866678,77.05044280806926,75.60170706629567,76.8600082397461,136616400.0,0.0330134410145772,0.3271400081279967,1.8366522683266688,16.049999237060547,1,0.0
AAPL,2020-02-05,77.98572352193352,78.28463523931488,76.88411323556181,77.48674774169922,118826800.0,0.0081542991772542,0.3270624462394967,1.835963252711496,15.149999618530272,1,0.0
AAPL,2020-02-06,77.75672634398214,78.39551744527337,77.19989265225486,78.39310455322266,105425600.0,0.0116969267382953,0.3265873919538897,1.8462947357533332,14.960000038146973,0,0.0
AAPL,2020-02-07,77.89294126547146,78.14181565091206,76.83703724788526,77.3275375366211,117684000.0,-0.01359261152718,0.3306674879289554,1.893046763616452,15.470000267028809,1,0.0
AAPL,2020-02-10,75.91402717049185,77.69480895996094,75.83429386411699,77.69480895996094,109348800.0,0.0047495553982424,0.3292534071253601,1.973942135609509,15.039999961853027,0,0.0
AAPL,2020-02-11,78.19015142253798,78.26263625107545,77.0085971005104,77.22605895996094,94323200.0,-0.0060332216048251,0.3305934643091882,2.0046300813331377,15.18000030517578,1,0.0
AAPL,2020-02-12,77.67548599053883,79.06483505188083,77.67548599053883,79.06000518798828,113730400.0,0.0237477640672842,0.3445153906137144,2.068648278725046,13.739999771118164,0,0.0
AAPL,2020-02-13,78.33271303943899,78.82321339617904,78.12974813739189,78.49701690673828,94747600.0,-0.0071210250987376,0.3461815991774058,2.035057924616119,14.149999618530272,1,0.0
AAPL,2020-02-14,78.46558778851511,78.76520890109116,78.00891869878639,78.5163345336914,80113600.0,0.0002460937716406,0.3158131536069288,1.8578401268218967,13.68000030517578,0,0.0
AAPL,2020-02-18,76.19914481922879,77.25988612279623,76.01792538344428,77.07866668701172,152531200.0,-0.0183104299916443,0.3080348419168008,1.87358720530235,14.829999923706056,1,0.0
AAPL,2020-02-19,77.32029972520789,78.42453202537972,77.32029972520789,78.19498443603516,93984000.0,0.0144828367822757,0.3009321535601431,1.7947848716869967,14.380000114440918,0,0.0
AAPL,2020-02-20,77.95576130740083,78.44384294584167,76.88777163956716,77.39276885986328,100566000.0,-0.0102591692032127,0.3041598419965061,1.809682945821646,15.5600004196167,0,0.0
AAPL,2020-02-21,76.98683382307465,77.42901329626612,75.0248329307541,75.64097595214844,129554000.0,-0.02263509800104,0.2531083606665585,1.713153823741701,17.079999923706055,0,0.0
AAPL,2020-02-24,71.8257200728422,73.49776723386336,69.88546431842104,72.04801177978516,222195200.0,-0.0475002355156845,0.3267859762292074,1.9302136262796827,25.030000686645508,0,0.0
AAPL,2020-02-25,72.71734532445798,73.09911114776158,69.13644634923264,69.60761260986328,230673600.0,-0.0338718461431102,0.3102732959140162,2.024207091558052,27.850000381469727,1,0.0
AAPL,2020-02-26,69.23308803031283,71.97554423056066,69.22583954625632,70.71183776855469,198054800.0,0.0158635689012978,0.3191100455672226,2.1188554976105918,27.559999465942383,0,0.0
AAPL,2020-02-27,67.92104419759342,69.10500967174747,65.95420576749399,66.08951568603516,320605600.0,-0.0653684337500709,0.3935632065223864,2.373284583899319,39.15999984741211,0,0.0
AAPL,2020-02-28,62.1606861550344,67.27107285671417,61.94563554811998,66.05085754394531,426510000.0,-0.0005849360778114,0.3962929102045119,2.6425252984176617,40.11000061035156,1,0.0
AAPL,2020-03-02,68.20616489725688,72.83571844288954,67.10435128397388,72.20024108886719,341397200.0,0.0931007374254078,0.5925858972939133,2.994264284353396,33.41999816894531,0,0.0
AAPL,2020-03-03,73.3745366413102,73.45426993984877,69.05667582944147,69.9072036743164,319475600.0,-0.0317594149267231,0.603748078486955,3.218803924342128,36.81999969482422,1,0.0
AAPL,2020-03-04,71.62758575768213,73.30930003617219,70.82780458094045,73.14982604980469,219178400.0,0.0463846671738581,0.6326268877125998,3.330469657908977,31.989999771118164,0,0.0
AAPL,2020-03-05,71.40526750546559,72.37901937193944,70.41218881575878,70.77704620361328,187572800.0,-0.0324372589016941,0.6434453764928213,3.4595682424410845,39.619998931884766,0,0.0
AAPL,2020-03-06,68.13853526605345,70.26967845792626,67.95248589171815,69.83716583251953,226176800.0,-0.0132794517644869,0.6432073038157942,3.607301821697539,41.93999862670898,0,0.0
AAPL,2020-03-09,63.72884532127841,67.19376061426469,63.54762585590985,64.31358337402344,286744800.0,-0.0790923055460542,0.7109797626730977,3.878096880723436,54.459999084472656,1,0.0
AAPL,2020-03-10,66.96419096693461,69.21130840087326,65.08675341116529,68.94551849365234,285290000.0,0.0720211015562812,0.7899324690828462,4.131801144186423,47.29999923706055,0,0.0
